Signature,Block Time,Human Time,Action,From,Token1,Amount1,TokenDecimals1,Token2,Amount2,TokenDecimals2,Value,Platforms,Sources,Token1Multiplier,Token2Multiplier
4qKPozL1BNv74iV3tWs4sMr59M15hjSpCnAcuB729VoNCBcY8439kS9bcagAgAqeuGQHw8Wpufcho7UGYnA233gn,1773025429,2026-03-09T03:03:49.000Z,ACTIVITY_TOKEN_SWAP,DGma4Uxm9JS6yLNdgYaxsZhwk2nxrRGMfMt5buXbiFCm,So11111111111111111111111111111111111111112,1998200000,9,DL6BBBQ6heTg9Zr5gFZxsCK2AZt2aVyRqUZgChqopump,12710927903103,6,165.15,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA||,1.0,1.0
2bP7wSAaHp2M87EYqhQMUMXCrp5hKkLvSLfPCPEmrcvgq9UnDSVeb2ixaKaohM9rTkdSYYa259DvvT8GHux8vnCe,1773025402,2026-03-09T03:03:22.000Z,ACTIVITY_TOKEN_SWAP,DGma4Uxm9JS6yLNdgYaxsZhwk2nxrRGMfMt5buXbiFCm,AJRfKrgLWUbfMKitqsxq9ssgcrWrUaHY8QRQGmNppump,59689002798850,6,So11111111111111111111111111111111111111112,1461671480,9,120.8,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4||pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,1.0,1.0
43LevTE22M6Vp7E6pJ9TnqgCjVhpZRErCBn5scn1KHcytrXgkMYcaz9fyMp6UojoGGgED7WT8svYBDGVHH4dJ58R,1773025397,2026-03-09T03:03:17.000Z,ACTIVITY_TOKEN_SWAP,DGma4Uxm9JS6yLNdgYaxsZhwk2nxrRGMfMt5buXbiFCm,9uKcd2WsQbmBXGchCZs2mBF2bNZkxZDGN1Qs8BtNpump,38681945050474,6,So11111111111111111111111111111111111111112,1448801314,9,119.74,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4||pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,1.0,1.0
2x8wW1a61wqSa2hdvDLZKztY2t4PU5ngBXFgoF1AppyzD66z2pi34pV4d4Yu9Pj635ThPaHNHYTWFALAGq1Rxp4Z,1773024874,2026-03-09T02:54:34.000Z,ACTIVITY_TOKEN_SWAP,DGma4Uxm9JS6yLNdgYaxsZhwk2nxrRGMfMt5buXbiFCm,So11111111111111111111111111111111111111112,996139703,9,G4VQJECCcxfcYtxNehYe5D4Uqk82J99dsev3gJnpump,5245444275616,6,82.54,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA||,1.0,1.0
4bt6SpgwstigrPYozmodiF5cbXEWcZEsxwDGco4pKfo67vugQwhfeouZHTD3SdRFPLRSRVxoTEKwQmtcWiKAbDsk,1773024818,2026-03-09T02:53:38.000Z,ACTIVITY_TOKEN_SWAP,DGma4Uxm9JS6yLNdgYaxsZhwk2nxrRGMfMt5buXbiFCm,So11111111111111111111111111111111111111112,1498650000,9,AJRfKrgLWUbfMKitqsxq9ssgcrWrUaHY8QRQGmNppump,59689002798850,6,124.18,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA||,1.0,1.0
5yWT9yJgCzoz7CWekMjakhZtLyXwjgxdKWYDQNZ9jNm2wy5WU7LRdubPV4xS4C82yqgma4asuTz2Y5c1eBUFcfBm,1773024482,2026-03-09T02:48:02.000Z,ACTIVITY_TOKEN_SWAP,DGma4Uxm9JS6yLNdgYaxsZhwk2nxrRGMfMt5buXbiFCm,1QGhHgig6C5na9BD8Rooz9LksvTmXiD8M6FHmYDpump,46781142704171,6,So11111111111111111111111111111111111111112,974440240,9,80.7,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4||pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,1.0,1.0
4p2KnwjRpXPQhegdoteU4LieY8mgYXzvMLcfqijNwZxjtJUAtRBxgjKz49dDb2QmWhGpgxQBZCZ6WvK2thxkSUMv,1773024226,2026-03-09T02:43:46.000Z,ACTIVITY_TOKEN_SWAP,DGma4Uxm9JS6yLNdgYaxsZhwk2nxrRGMfMt5buXbiFCm,So11111111111111111111111111111111111111112,999100000,9,o5XguNKkz71K37BJsAhyMJnatwwbJ9MdixSmDW6pump,10919963323421,6,82.53,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA||,1.0,1.0
5S5cumN9LSJnLSE5nw5mBe6Kj7hyqdSEDJKj2CmtGdrfpJ1gdGCndMCrJ5guF6zAP1zyKxBvrj9DN6yyxHdx4eNn,1773024186,2026-03-09T02:43:06.000Z,ACTIVITY_TOKEN_SWAP,DGma4Uxm9JS6yLNdgYaxsZhwk2nxrRGMfMt5buXbiFCm,So11111111111111111111111111111111111111112,999100000,9,1QGhHgig6C5na9BD8Rooz9LksvTmXiD8M6FHmYDpump,46781142704171,6,82.53,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA||,1.0,1.0
3MSqnUHa89ayazdgiRfJXUURGvptCVKKd7xmz4sMubCAWzsERPzGVoUpxBDzFFqJzp76T6bb3H8GkK6fWybaqzMg,1773024103,2026-03-09T02:41:43.000Z,ACTIVITY_TOKEN_SWAP,DGma4Uxm9JS6yLNdgYaxsZhwk2nxrRGMfMt5buXbiFCm,So11111111111111111111111111111111111111112,996139703,9,9uKcd2WsQbmBXGchCZs2mBF2bNZkxZDGN1Qs8BtNpump,38681945050474,6,82.28,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA||,1.0,1.0
CQuQW9UC8U4a1CxbBt6nthKEE2yKSUZ9PmG5gvYttCCxRz57DfewcT1WydKzkrYFSqZBkjigAPdCGNL4rzMZUop,1773023943,2026-03-09T02:39:03.000Z,ACTIVITY_TOKEN_SWAP,DGma4Uxm9JS6yLNdgYaxsZhwk2nxrRGMfMt5buXbiFCm,So11111111111111111111111111111111111111112,999100000,9,7WAFfQAEaB4Gpp4xRvbjHmS6mLPSdJjtTB3NTiLdpump,18839022727753,6,82.15,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA||,1.0,1.0
