Signature,Block Time,Human Time,Action,From,Token1,Amount1,TokenDecimals1,Token2,Amount2,TokenDecimals2,Value,Platforms,Sources,Token1Multiplier,Token2Multiplier
4ixMTVooyx7bufCL4Gt3pwFgDGkcSbZaXw2tMgmSwMVnZi14eFCFke3zrgdQpRcmRTMEcnXmSuwaGv5gBLi6VCR3,1773141398,2026-03-10T11:16:38.000Z,ACTIVITY_TOKEN_SWAP,5PvBRrFPvFPiMtphrmvrbL7uDzPZZRxWPLmVrySksoU1,2pR5z26NxjxRaMx9Ldwo6PchB8746oRbyZn78F6Cpump,21464729806986,6,So11111111111111111111111111111111111111111,1700863772,9,147.41,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P||,1.0,1.0
5wJtAQhwQBGZoqytn2dABAYjEuJrJbFsgLDX2fzKgV6P2uGYwxZqk4FojSTmH6tNvLVyiEG2GSdQHDfCaX4v5VZ5,1773140621,2026-03-10T11:03:41.000Z,ACTIVITY_TOKEN_SWAP,5PvBRrFPvFPiMtphrmvrbL7uDzPZZRxWPLmVrySksoU1,So11111111111111111111111111111111111111112,1500000000,9,uyJCAxSZLKVXodcLQbrb2gmkaZispsZKbw3iZLAaGWm,29738248925974150,9,130.58,dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN,dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN||,1.0,1.0
2v75P6ETMcTChKAodViSy8UiMDbrXaKzJZZ7ZPbTFMd2FdQHkJcK4erSffsymd1qw1oKXrN6wjaf5yiH7WYcFDZY,1773140593,2026-03-10T11:03:13.000Z,ACTIVITY_TOKEN_SWAP,5PvBRrFPvFPiMtphrmvrbL7uDzPZZRxWPLmVrySksoU1,So11111111111111111111111111111111111111112,50000000,9,uyJCAxSZLKVXodcLQbrb2gmkaZispsZKbw3iZLAaGWm,203403446247673,9,4.3528,dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN,dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN||,1.0,1.0
5e7F6eHkD7yHeigd9wHvfwQFzbv5RchdufJ1UTQ8sNswVi47629S7jBy9zwb86qY4QXsXGdYBZSvMRberD8eBsFQ,1773140571,2026-03-10T11:02:51.000Z,ACTIVITY_TOKEN_SWAP,5PvBRrFPvFPiMtphrmvrbL7uDzPZZRxWPLmVrySksoU1,So11111111111111111111111111111111111111112,50000000,9,uyJCAxSZLKVXodcLQbrb2gmkaZispsZKbw3iZLAaGWm,202228924890075,9,4.3528,dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN,dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN||,1.0,1.0
2Fsd2zHYNPsbwarHpJeka6RE69dK33mj3LuJZFpr4obrxvbjcmpMdDTLEQZrSUPC6zRfodAFZ1tQcwXeg1fWXHvC,1773140474,2026-03-10T11:01:14.000Z,ACTIVITY_TOKEN_SWAP,5PvBRrFPvFPiMtphrmvrbL7uDzPZZRxWPLmVrySksoU1,So11111111111111111111111111111111111111112,50000000,9,uyJCAxSZLKVXodcLQbrb2gmkaZispsZKbw3iZLAaGWm,193465692759228,9,4.357,dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN,dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN||,1.0,1.0
4Qack5fpbnUqMoMduQau6JYhyig9jmbVMR4DMeX2oLpSxoMZeC1dg5QySc43xtszigfaoHKPSB2hALabtwnW7HgG,1773140471,2026-03-10T11:01:11.000Z,ACTIVITY_TOKEN_SWAP,5PvBRrFPvFPiMtphrmvrbL7uDzPZZRxWPLmVrySksoU1,So11111111111111111111111111111111111111112,50000000,9,uyJCAxSZLKVXodcLQbrb2gmkaZispsZKbw3iZLAaGWm,199835695607990,9,4.357,dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN,dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN||,1.0,1.0
2Y699i3fpfT743mfjDfYDe7doGWFd74tZske27rY9YudeDTfpMoq1vBELwySBYFgQuyjdKZ1TTa3hSAixFVdjSYf,1773140451,2026-03-10T11:00:51.000Z,ACTIVITY_TOKEN_SWAP,5PvBRrFPvFPiMtphrmvrbL7uDzPZZRxWPLmVrySksoU1,So11111111111111111111111111111111111111112,50000000,9,uyJCAxSZLKVXodcLQbrb2gmkaZispsZKbw3iZLAaGWm,201121227494504,9,4.357,dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN,dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN||,1.0,1.0
3oL8QqQsHVin4RKh94RaYBiSZgq2nknPbRjhnAc8GQMvhj6vxKpGZYrtesgrGpxhgR6cVWJVieij42Yui8UGiH2U,1773140409,2026-03-10T11:00:09.000Z,ACTIVITY_TOKEN_SWAP,5PvBRrFPvFPiMtphrmvrbL7uDzPZZRxWPLmVrySksoU1,So11111111111111111111111111111111111111112,50000000,9,uyJCAxSZLKVXodcLQbrb2gmkaZispsZKbw3iZLAaGWm,208019135180737,9,4.357,dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN,dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN||,1.0,1.0
37ucdYbyYaGEp78x8SPC2C3jFhrY3FE5wimn8xoyzbme71LFUyWNhBBkV9TTsEL487gyGmR7RSTnDPQo8NrfjcHr,1773140364,2026-03-10T10:59:24.000Z,ACTIVITY_TOKEN_SWAP,5PvBRrFPvFPiMtphrmvrbL7uDzPZZRxWPLmVrySksoU1,So11111111111111111111111111111111111111112,50000000,9,uyJCAxSZLKVXodcLQbrb2gmkaZispsZKbw3iZLAaGWm,207246441839929,9,4.357,dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN,dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN||,1.0,1.0
QKMnyTivSXF477L9cLtWi9oM9ZvGtHpqXufb2C9h8sJysxwQZm7mYNv9c6UPpjynhSh9avQxxxeLta5LqFCnC7n,1773140362,2026-03-10T10:59:22.000Z,ACTIVITY_TOKEN_SWAP,5PvBRrFPvFPiMtphrmvrbL7uDzPZZRxWPLmVrySksoU1,uyJCAxSZLKVXodcLQbrb2gmkaZispsZKbw3iZLAaGWm,8101779731888995,9,So11111111111111111111111111111111111111112,2045302162,9,178.23,dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN,dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN||,1.0,1.0
5DLzi1nXBYHknfGzsBQ8necr4jVuWKKL9VBBryGNS9ii1sQCnGCn9Uep3j2dR9VXz9oDGaMZrpdpmom46R545T3c,1773140212,2026-03-10T10:56:52.000Z,ACTIVITY_TOKEN_SWAP,5PvBRrFPvFPiMtphrmvrbL7uDzPZZRxWPLmVrySksoU1,So11111111111111111111111111111111111111112,50000000,9,uyJCAxSZLKVXodcLQbrb2gmkaZispsZKbw3iZLAaGWm,272473787490783,9,4.3501,dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN,dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN||,1.0,1.0
4mt7bVMnNwMQQgF9tC5nCth1HBUmns5Pj5bykZcqDyvFgtHAWzecJyGPmMJ43b5cEbYjqfRZD9uvju6t96rsMNTF,1773140209,2026-03-10T10:56:49.000Z,ACTIVITY_TOKEN_SWAP,5PvBRrFPvFPiMtphrmvrbL7uDzPZZRxWPLmVrySksoU1,uyJCAxSZLKVXodcLQbrb2gmkaZispsZKbw3iZLAaGWm,15931085676287208,9,So11111111111111111111111111111111111111112,3169603331,9,275.76,dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN,dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN||,1.0,1.0
6XZFYQijNu9mWZ6CkiCut9zZox1wfpVVDNCKygTvrCXoTDwx3iRFLV9hpPo6JdJzZuFMmiJNiYN9FSK7hoXYKY7,1773139162,2026-03-10T10:39:22.000Z,ACTIVITY_TOKEN_SWAP,5PvBRrFPvFPiMtphrmvrbL7uDzPZZRxWPLmVrySksoU1,So11111111111111111111111111111111111111111,1500000000,9,2pR5z26NxjxRaMx9Ldwo6PchB8746oRbyZn78F6Cpump,21464729806986,6,130.66,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P||,1.0,1.0
n5rAoSkhtDAzg3M8LUkgwXNv8NYgQegnnR6drQzs2CNqqP3hcYkQ9BabTfKc2BoHn7rGVM8RkKZFQvY4FR456oV,1773138607,2026-03-10T10:30:07.000Z,ACTIVITY_TOKEN_SWAP,5PvBRrFPvFPiMtphrmvrbL7uDzPZZRxWPLmVrySksoU1,FxYMLiGye21twjrobubsHhgzffX4ma1QWygBvxHTLnPS,17133766730602,6,So11111111111111111111111111111111111111111,1441202995,9,125.55,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P||,1.0,1.0
2WwtjTH7zGvMMRman1dntgEn5TuymeDBFNu2ndhmsQyTqtqS9GW2yTQkqNuwLaAGDsHx5iAvPm11mmSi5Rb1qw43,1773138187,2026-03-10T10:23:07.000Z,ACTIVITY_TOKEN_SWAP,5PvBRrFPvFPiMtphrmvrbL7uDzPZZRxWPLmVrySksoU1,So11111111111111111111111111111111111111112,2000000000,9,272UFjLj4WF8yvaRhZ4sUb4F48E1qdgSzFn9wkopDooM,26800792440950108,9,174.17,dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN,dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN||,1.0,1.0
5Kvr6Zaf6c24TrJEnm36t9Y1xfPrVursmMZDBnsgD8sCSph5MZwV8czmrwKFgjJzVAHtACiawg4dApCyb5yC66uH,1773138139,2026-03-10T10:22:19.000Z,ACTIVITY_TOKEN_SWAP,5PvBRrFPvFPiMtphrmvrbL7uDzPZZRxWPLmVrySksoU1,EX3ncPAu6T4nvbF6F1wd7H6vfjuQ5Ud2HjpwSbd9pump,49927689787344,6,So11111111111111111111111111111111111111111,1643522655,9,143.13,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P||,1.0,1.0
2pbVR8ibmW3DePC83nMGzo4sRXYCU7JZvaaQJDcPna3sUzzDiv8JeKDJdAcVTLEhAa5JZ19iDf92Rn4n3aoNC7AZ,1773137838,2026-03-10T10:17:18.000Z,ACTIVITY_TOKEN_SWAP,5PvBRrFPvFPiMtphrmvrbL7uDzPZZRxWPLmVrySksoU1,So11111111111111111111111111111111111111111,1500000000,9,EX3ncPAu6T4nvbF6F1wd7H6vfjuQ5Ud2HjpwSbd9pump,49927689787344,6,130.77,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P||,1.0,1.0
5o8Fzf8xrVKNuhSoNBvgnAQVBF7opXUc6T5Jt7Q95BwEdLFzozXkyLc2HDBJbR68TnjX7B8xhiTuYBoBBcoCYnpD,1773137455,2026-03-10T10:10:55.000Z,ACTIVITY_TOKEN_SWAP,5PvBRrFPvFPiMtphrmvrbL7uDzPZZRxWPLmVrySksoU1,9zk9FgH2BxfYfti9MoPYkgWpvf1JPTDi1zvMvucgpump,20729780944241,6,So11111111111111111111111111111111111111111,1627674845,9,142.09,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P||,1.0,1.0
